user_id,name,meal_occasion,avg_goodness_per_row,volume,row_count
user_102_snacks,Emily Johnson,snacks,0.717784,5.922078,77
user_104_brunch,Imani Taylor,brunch,0.676407,6.961039,77
user_108_brunch,Mia Thomas,brunch,0.806804,6.454545,77
user_112_dinner,Yuki Suzuki,dinner,0.640377,5.194805,77
user_114_snacks,Natalia Reyes,snacks,0.814935,4.818182,77
user_116_dinner,Rami Haddad,dinner,0.710894,4.350649,77
user_119_brunch,Samir Farouk,brunch,0.690116,8.155844,77
user_11_lunch,Valentina Lopez,lunch,0.802995,4.701299,77
user_126_brunch,Camila Martinez,brunch,0.816625,6.987013,77
user_127_brunch,Rin Nakamura,brunch,0.822511,7.948052,77
user_131_snacks,Tanisha Brown,snacks,0.667028,7.896104,77
user_136_breakfast,Lakeisha Thompson,breakfast,0.71622,6.0,77
user_138_brunch,Aiden Chen,brunch,0.842701,5.688312,77
user_141_dinner,Ji-Young Park,dinner,0.676373,4.74026,77
user_143_dinner,Hana Yamamoto,dinner,0.684193,4.831169,77
user_14_lunch,Kevin Carter,lunch,0.769412,5.220779,77
user_152_snacks,Andre Jackson,snacks,0.814935,8.12987,77
user_153_dinner,Sebastian Gutierrez,dinner,0.773079,5.818182,77
user_156_snacks,Kenji Nakamura,snacks,0.814935,7.688312,77
user_158_snacks,Marcus Williams,snacks,0.836317,7.753247,77
user_159_lunch,Raven White,lunch,0.550145,8.506494,77
user_15_brunch,Tae-Yang Park,brunch,0.691406,6.519481,77
user_162_dinner,Sophia Martinez,dinner,0.719996,4.506494,77
user_164_breakfast,Soo-Yeon Lee,breakfast,0.822511,8.363636,77
user_165_snacks,Priya Patel,snacks,0.702936,6.480519,77
user_166_snacks,Ananya Sharma,snacks,0.945888,8.805195,77
user_168_brunch,Layla Ahmed,brunch,0.822511,7.714286,77
user_16_brunch,Jason Mitchell,brunch,0.686319,8.402597,77
user_170_breakfast,Kwame Taylor,breakfast,0.788612,5.519481,77
user_178_brunch,Kohana Swiftwind,brunch,0.685606,8.103896,77
user_17_brunch,Takashi Suzuki,brunch,0.815476,7.675325,77
user_180_lunch,Tyler Nelson,lunch,0.727201,6.571429,77
user_184_snacks,Ananya Sharma,snacks,0.945888,7.987013,77
user_186_dinner,Fatima Hassan,dinner,0.692213,4.337662,77
user_189_breakfast,Samir Farouk,breakfast,0.844903,8.623377,77
user_196_lunch,Chayton Eagleheart,lunch,0.719765,6.376623,77
user_198_brunch,Pooja Singh,brunch,0.782046,4.350649,77
user_201_breakfast,Xiu Ying Chen,breakfast,0.80715,7.194805,77
user_202_brunch,Hiroshi Tanaka,brunch,0.806578,5.753247,77
user_203_brunch,Grace Robinson,brunch,0.805543,6.064935,77
user_205_dinner,Destiny Robinson,dinner,0.635675,5.844156,77
user_208_breakfast,Zoe Martin,breakfast,0.815476,6.727273,77
user_212_brunch,Natalie Lee,brunch,0.690116,7.077922,77
user_213_brunch,Keisha Johnson,brunch,0.815476,5.961039,77
user_215_dinner,Ana Torres,dinner,0.671217,4.012987,77
user_217_breakfast,Thomas Walker,breakfast,0.76563,4.935065,77
user_220_breakfast,Ziad Mansour,breakfast,0.822511,8.025974,77
user_223_dinner,Andres Romero,dinner,0.75141,4.220779,77
user_224_breakfast,Carlos Garcia,breakfast,0.822511,8.012987,77
user_226_lunch,Monique Davis,lunch,0.704157,6.298701,77
user_234_lunch,Nour Al-Rashid,lunch,0.822511,8.038961,77
user_238_snacks,Imani Taylor,snacks,0.814935,4.87013,77
user_240_breakfast,Tariq Nasser,breakfast,0.771485,5.038961,77
user_241_brunch,Takoda Whitehorse,brunch,0.815476,7.597403,77
user_251_lunch,Hana Al-Amin,lunch,0.720051,4.428571,77
user_253_dinner,Hannah Clark,dinner,0.709707,6.519481,77
user_254_breakfast,Shilah Morningstar,breakfast,0.822511,7.168831,77
user_256_brunch,Jamal Robinson,brunch,0.822511,8.519481,77
user_259_lunch,Ricardo Torres,lunch,0.740727,5.207792,77
user_261_breakfast,Hector Cruz,breakfast,0.805983,6.298701,77
user_262_dinner,Amira Ibrahim,dinner,0.72445,5.415584,77
user_264_snacks,Imani Taylor,snacks,0.724686,7.311688,77
user_271_lunch,Rohan Mehta,lunch,0.822511,7.792208,77
user_276_brunch,Shilah Morningstar,brunch,0.831226,8.051948,77
user_283_brunch,Adriana Cruz,brunch,0.815476,3.064935,77
user_285_dinner,Paola Romero,dinner,0.681798,5.948052,77
user_288_dinner,Sofia Rodriguez,dinner,0.725813,3.623377,77
user_289_snacks,Rin Nakamura,snacks,0.814935,6.623377,77
user_291_snacks,Adriana Cruz,snacks,0.747583,3.116883,77
user_292_brunch,Jin Kim,brunch,0.815476,5.090909,77
user_293_breakfast,Nayeli Skydancer,breakfast,0.822511,8.038961,77
user_295_snacks,Faisal Al-Amin,snacks,0.814935,3.662338,77
user_296_lunch,Joshua King,lunch,0.822511,8.415584,77
user_297_breakfast,Dominique Carter,breakfast,0.80485,5.571429,77
user_298_lunch,Christopher Allen,lunch,0.665403,6.038961,77
user_2_snacks,Daniela Morales,snacks,0.945888,8.142857,77
user_301_snacks,Nokosi Runningwater,snacks,0.758461,4.714286,77
user_302_lunch,Charlotte Jackson,lunch,0.822511,8.064935,77
user_30_breakfast,Tyler Nelson,breakfast,0.822511,8.181818,77
user_312_breakfast,Marcus Williams,breakfast,0.815476,8.012987,77
user_314_snacks,Tariq Nasser,snacks,0.667028,6.337662,77
user_316_breakfast,Keisha Johnson,breakfast,0.787781,6.194805,77
user_317_lunch,Natalie Lee,lunch,0.822511,8.493506,77
user_319_dinner,Rami Haddad,dinner,0.713217,6.246753,77
user_31_lunch,Tiara Harris,lunch,0.784088,4.61039,77
user_328_brunch,Arjun Patel,brunch,0.822511,8.207792,77
user_329_snacks,Ryan Scott,snacks,0.945888,7.909091,77
user_32_brunch,Harper Thompson,brunch,0.833845,8.194805,77
user_331_brunch,Robert Clark,brunch,0.822511,8.12987,77
user_332_dinner,Jose Hernandez,dinner,0.656486,5.714286,77
user_334_breakfast,Sakura Tanaka,breakfast,0.811451,6.961039,77
user_336_breakfast,Sara Nasser,breakfast,0.815476,7.519481,77
user_343_snacks,Gabriela Perez,snacks,0.810065,5.766234,77
user_347_lunch,Winona Clearwater,lunch,0.654041,3.311688,77
user_356_breakfast,Sebastian Gutierrez,breakfast,0.822511,7.961039,77
user_357_lunch,Yuki Suzuki,lunch,0.822511,6.597403,77
user_35_breakfast,Yasmin Farouk,breakfast,0.815476,6.753247,77
user_360_lunch,Arjun Patel,lunch,0.822511,8.142857,77
user_361_dinner,Takashi Suzuki,dinner,0.771972,5.363636,77
user_367_breakfast,Thomas Walker,breakfast,0.783875,4.012987,77
user_370_brunch,Eduardo Ramirez,brunch,0.822511,8.350649,77
user_371_brunch,Khalid Al-Rashid,brunch,0.832127,8.103896,77
user_372_dinner,Carlos Garcia,dinner,0.776501,4.25974,77
user_374_breakfast,Kang Liu,breakfast,0.822511,8.506494,77
user_377_brunch,Mei Lin,brunch,0.788072,5.155844,77
user_37_brunch,Sophia Martinez,brunch,0.815476,7.896104,77
user_383_brunch,Juan Martinez,brunch,0.822511,8.038961,77
user_390_dinner,Zaria Martin,dinner,0.72042,3.87013,77
user_403_snacks,Layla Ahmed,snacks,0.945888,9.233766,77
user_410_snacks,Yasmin Farouk,snacks,0.828416,7.285714,77
user_412_dinner,Kevin Carter,dinner,0.677416,6.272727,77
user_415_dinner,Sara Nasser,dinner,0.728101,6.467532,77
user_417_snacks,Tariq Nasser,snacks,0.898898,5.311688,77
user_418_breakfast,Elijah Scott,breakfast,0.810464,6.467532,77
user_422_lunch,Omar Hassan,lunch,0.822511,8.363636,77
user_423_brunch,Brandon Adams,brunch,0.770641,4.467532,77
user_427_brunch,Emma Davis,brunch,0.769518,5.818182,77
user_430_dinner,Aponi Riverstone,dinner,0.661405,5.74026,77
user_431_brunch,Pablo Flores,brunch,0.767377,6.103896,77
user_432_brunch,DeShawn Moore,brunch,0.815476,7.38961,77
user_435_lunch,Charles Lewis,lunch,0.668471,6.779221,77
user_438_snacks,Diego Perez,snacks,0.721671,6.376623,77
user_441_snacks,Paola Romero,snacks,0.945888,9.532468,77
user_447_brunch,Harper Thompson,brunch,0.822511,6.857143,77
user_450_snacks,Ji-Young Park,snacks,0.933983,1.0,77
user_451_lunch,Faisal Al-Amin,lunch,0.712283,4.597403,77
user_456_dinner,Sakura Tanaka,dinner,0.698319,4.61039,77
user_45_breakfast,Winona Clearwater,breakfast,0.822511,8.376623,77
user_462_breakfast,Monique Davis,breakfast,0.846846,3.662338,77
user_463_dinner,Rohan Mehta,dinner,0.695943,3.948052,77
user_468_snacks,Xiu Ying Chen,snacks,0.933983,6.74026,77
user_472_snacks,Pooja Singh,snacks,0.704392,6.38961,77
user_475_snacks,Kaya Thunderbird,snacks,0.933983,1.0,77
user_478_lunch,Emma Davis,lunch,0.550145,8.584416,77
user_485_lunch,Raven White,lunch,0.718607,6.168831,77
user_486_lunch,Aisha Khan,lunch,0.65837,4.103896,77
user_492_dinner,Wei Zhang,dinner,0.728176,4.831169,77
user_49_dinner,Mia Thomas,dinner,0.724537,5.857143,77
user_55_lunch,Jimena Gutierrez,lunch,0.667251,4.766234,77
user_56_lunch,Xiu Ying Chen,lunch,0.822511,6.051948,77
user_57_snacks,Deepa Gupta,snacks,0.867965,1.0,77
user_59_snacks,Vikram Singh,snacks,0.810065,4.012987,77
user_5_breakfast,James Anderson,breakfast,0.822511,8.090909,77
user_60_snacks,Kang Liu,snacks,0.810065,7.272727,77
user_64_lunch,Yusuf Ibrahim,lunch,0.654041,6.181818,77
user_71_lunch,Emily Johnson,lunch,0.694214,6.428571,77
user_74_brunch,Aiyana Redcloud,brunch,0.791944,4.545455,77
user_77_brunch,Omar Hassan,brunch,0.79717,5.844156,77
user_7_dinner,Jasmine Wilson,dinner,0.647713,5.649351,77
user_82_snacks,Isabella Hernandez,snacks,0.911977,1.0,77
user_83_lunch,Omar Hassan,lunch,0.785763,5.948052,77
user_84_dinner,Jasmine Wilson,dinner,0.698653,5.064935,77
user_8_lunch,Chayton Eagleheart,lunch,0.822511,8.116883,77
user_97_breakfast,Ananya Sharma,breakfast,0.815476,7.74026,77
