meal_request_id,user_id,name,meal_occasion,required_categories,target_item,recommended_meals,goodness,avg_redundancy,avg_setsize,avg_coverage,avg_krobust,avg_dm_proxy,avg_mc_proxy,avg_uc_proxy
0,user_2_snacks,Daniela Morales,snacks,{'Beverage'},Coffee,"[['Coffee', 'Almond Milk'], ['Coffee', 'Apple Juice'], ['Coffee', 'Cappuccino']]","[1.0, 1.0, 1.0]",1.0,0.5,1.0,1.0,1.0,1.0,1.0
1,user_2_snacks,Daniela Morales,snacks,{'Beverage'},Tea,"[['Tea', 'Almond Milk'], ['Tea', 'Apple Juice'], ['Tea', 'Cappuccino']]","[1.0, 1.0, 1.0]",1.0,0.5,1.0,1.0,1.0,1.0,1.0
2,user_2_snacks,Daniela Morales,snacks,{'Beverage'},Orange Juice,"[['Orange Juice', 'Almond Milk'], ['Orange Juice', 'Apple Juice'], ['Orange Juice', 'Cappuccino']]","[1.0, 1.0, 1.0]",1.0,0.5,1.0,1.0,1.0,1.0,1.0
3,user_2_snacks,Daniela Morales,snacks,{'Beverage'},Cola,"[['Cola', 'Almond Milk'], ['Cola', 'Apple Juice'], ['Cola', 'Cappuccino']]","[1.0, 1.0, 1.0]",1.0,0.5,1.0,1.0,1.0,1.0,1.0
4,user_2_snacks,Daniela Morales,snacks,{'Beverage'},Water,"[['Water', 'Almond Milk'], ['Water', 'Apple Juice'], ['Water', 'Cappuccino']]","[1.0, 1.0, 1.0]",1.0,0.5,1.0,1.0,1.0,1.0,1.0
5,user_2_snacks,Daniela Morales,snacks,{'Beverage'},Milk,"[['Milk', 'Almond Milk'], ['Milk', 'Apple Juice'], ['Milk', 'Cappuccino']]","[1.0, 1.0, 1.0]",1.0,0.5,1.0,1.0,1.0,1.0,1.0
6,user_2_snacks,Daniela Morales,snacks,{'Beverage'},Smoothie,"[['Smoothie', 'Almond Milk'], ['Smoothie', 'Apple Juice'], ['Smoothie', 'Cappuccino']]","[1.0, 1.0, 1.0]",1.0,0.5,1.0,1.0,1.0,1.0,1.0
7,user_2_snacks,Daniela Morales,snacks,{'Beverage'},Lemonade,"[['Lemonade', 'Almond Milk'], ['Lemonade', 'Apple Juice'], ['Lemonade', 'Cappuccino']]","[1.0, 1.0, 1.0]",1.0,0.5,1.0,1.0,1.0,1.0,1.0
8,user_2_snacks,Daniela Morales,snacks,{'Beverage'},Iced Tea,"[['Iced Tea', 'Almond Milk'], ['Iced Tea', 'Apple Juice'], ['Iced Tea', 'Cappuccino']]","[1.0, 1.0, 1.0]",1.0,0.5,1.0,1.0,1.0,1.0,1.0
9,user_2_snacks,Daniela Morales,snacks,{'Beverage'},Hot Chocolate,"[['Hot Chocolate', 'Almond Milk'], ['Hot Chocolate', 'Apple Juice'], ['Hot Chocolate', 'Cappuccino']]","[1.0, 1.0, 1.0]",1.0,0.5,1.0,1.0,1.0,1.0,1.0
10,user_2_snacks,Daniela Morales,snacks,{'Beverage'},Apple Juice,"[['Apple Juice', 'Almond Milk'], ['Apple Juice', 'Cappuccino'], ['Apple Juice', 'Caramel Cappucino']]","[1.0, 1.0, 1.0]",1.0,0.5,1.0,1.0,1.0,1.0,1.0
