researcher_name,avg_goodness_per_row,volume,row_count
"Agostinelli, Forest",0.402878,10.0,434
"Ahmad, Iftikhar",0.445043,10.0,434
"Alexeev, Oleg S.",0.465652,10.0,434
"Ali, Mohammod",0.445891,10.0,434
"Ammal, Salai C.",0.406401,10.0,434
"Bakos, Jason D. ",0.411642,10.0,434
"Banerjee, Sourav ",0.412371,10.0,434
"Bayat, Mahmoud",0.415558,10.0,434
"Bayoumi, Abdel-Moez E. ",0.465379,10.0,434
"Benigni, Andrea",0.410209,10.0,434
"Berge, Nicole D.",0.471029,10.0,434
"Besmann, Theodore  M.",0.405694,10.0,434
"Bischoff, Jeff ",0.423154,10.0,434
"Blanchette, James  Otto",0.485844,10.0,434
"Boltin, Nicholas D.",0.488913,10.0,434
"Booth, Kristen",0.416756,10.0,434
"Brookshire, Robert G., Ph.D.",0.470944,10.0,434
"Broughton, Earnie",0.457425,10.0,434
"Buell, Duncan A.",0.482209,9.995392,434
"Caicedo, Juan",0.444995,10.0,434
"Carrilho, Leo ",0.429601,10.0,434
"Carver, Wayne",0.494605,10.0,434
"Chandrashekhar, MVS",0.414374,10.0,434
"Chao, Yuh J. ",0.449902,10.0,434
"Chaudhry, Hanif",0.405539,10.0,434
"Chen, Fanglin (Frank)",0.424656,10.0,434
"Chen, Yinchao",0.41189,10.0,434
"Chen, Yuche",0.411759,10.0,434
"Cheng, Xu",0.477534,10.0,434
"Cole, Casey",0.407352,10.0,434
"Coman, Paul",0.399039,10.0,434
"Crichigno, Jorge",0.409356,10.0,434
"Cui, Taixing",0.428528,10.0,434
"De Backer, Wout",0.408448,10.0,434
"Deng, Xiaomin ",0.409919,10.0,434
"Devereux, Emily",0.441317,10.0,434
"Dillon, Anthony L",0.440073,10.0,434
"Dougal, Roger A.",0.479853,10.0,434
"Downey, Austin",0.406911,10.0,434
"Dryer, Frederick  L. ",0.46075,10.0,434
"Eastman, Caroline M. ",0.448755,10.0,434
"Eberth, John F.",0.40566,10.0,434
"Ebner, Armin D.",0.460507,10.0,434
"Eslambolchi Moghadam, Sara",0.410114,10.0,434
"Fan, Daping",0.471827,10.0,434
"Farkas, Csilla ",0.403186,10.0,434
"Farouk, Tanvir   I.",0.409332,10.0,434
"Fenner, Stephen A. ",0.417003,10.0,434
"Fiedler, Kirk",0.403388,10.0,434
"Flora, Joseph",0.423063,10.0,434
"Gadala-Maria, Francis",0.421016,10.0,434
"Gassman, Sarah",0.410191,10.0,434
"Gatzke, Edward P.",0.474338,10.0,434
"Gerdes, Jr., John H.",0.49283,10.0,434
"Gholizadeh, Sona",0.409832,10.0,434
"Gibbons, Joseph H.",0.405992,10.0,434
"Ginn, Herbert L.",0.417885,10.0,434
"Giurgiutiu (Jurjutzu), Victor",0.44934,10.0,434
"Glenn Jr., Odell",0.451121,10.0,434
"Goharian, Erfan",0.402758,10.0,434
"Gower, R. Michael",0.403594,10.0,434
"Gray, Joshua",0.479282,10.0,434
"Gross, Andrew J.",0.42513,10.0,434
"Gumina, Sharon",0.446947,10.0,434
"Gürdal, Zafer ",0.403055,10.0,434
"Haj-Hariri, Hossein ",0.410387,10.0,434
"Harik, Ramy",0.463966,10.0,434
"Henrich, Silke",0.406399,10.0,434
"Heyden, Andreas",0.417335,10.0,434
"Hikmet, Neset",0.406506,10.0,434
"Hoque, Shamia",0.410697,10.0,434
"Hu, Jianjun",0.406069,10.0,434
"Hu, Ming",0.436517,10.0,434
"Huang, Chin-Tser",0.406324,10.0,434
"Huang, Kevin ",0.415151,10.0,434
"Huang, Xinyu ",0.4086,10.0,434
"Huhns, Michael N.",0.409763,10.0,434
"Humphries, Wilfred Kenneth",0.456055,10.0,434
"Huray, Paul G.",0.411209,10.0,434
"Huynh, Nathan",0.404777,10.0,434
"Imran, Jasim",0.415594,10.0,434
"Jabbari, Esmaiel",0.407311,10.0,434
"Jabbarzadeh, Ehsan",0.477115,10.0,434
"Jalilvand, Golareh",0.465913,10.0,434
"Jamshidi, Pooyan ",0.406869,10.0,434
"Kanapala, Neema ",0.410478,10.0,434
"Karakalos, Stavros G.",0.460622,10.0,434
"Karakchi, Rasha",0.407759,10.0,434
"Khan, Asif",0.412093,10.0,434
"Khan, Jamil   A.",0.435119,10.0,434
"Kidane, Addis ",0.410479,10.0,434
"Knight, Travis W.",0.422429,10.0,434
"Koppel, Tarmo",0.425333,10.0,434
"Lauterbach, Jochen",0.407339,10.0,434
"Lee, Dongkyu",0.407288,10.0,434
"Lessner , Susan M.",0.487956,10.0,434
"Lewis, Jeremy ",0.407161,10.0,434
"Li, Chen ",0.440941,10.0,434
"Liu, Chang",0.495148,10.0,434
"Loiselle, Val",0.417948,10.0,434
"Luo, Lannan ",0.405276,10.0,434
"Lyons, Jed ",0.47396,10.0,434
"Mandal, Krishna",0.411689,10.0,434
"Matolak, David",0.41094,10.0,434
"Matta, Fabio",0.460391,10.0,434
"Matthews, Catherine",0.405111,10.0,434
"Matthews, Manton M",0.410452,10.0,434
"Matthews, Michael A.",0.47276,10.0,434
"McAnally, A. Steve",0.448007,10.0,434
"McCants, Dale ",0.422483,10.0,434
"McNeill, Stephen ",0.410813,10.0,434
"Meekins, Benjamin H.",0.415069,10.0,434
