,researcher,skill_categories
0,"Agostinelli, Forest","['E.3', 'F.2', 'A.0', 'E.1', 'I.2']"
1,"Ahmad, Iftikhar","['H.4', 'H.4', 'D.2', 'I.1', 'I.5', 'D.4', 'C.2', 'I.4', 'I.3', 'I.2', 'D.3', 'H.3', 'D.3', 'H.2', 'B.2', 'B.4', 'B.3', 'F.1', 'B.4', 'C.2', 'I.7', 'D.3', 'G.3', 'I.4', 'I.2', 'F.2', 'F.3', 'H.5', 'F.2', 'J.2', 'K.6', 'H.5', 'I.2', 'D.3', 'F.1', 'I.6', 'K.8', 'K.8', 'I.2', 'D.2', 'I.2', 'K.6', 'I.4', 'B.3', 'I.4']"
2,"Alexeev, Oleg S.","['F.1', 'G.1', 'G.1', 'B.2', 'B.4', 'B.3', 'H.2', 'I.4', 'J.2', 'J.6', 'J.7', 'H.5', 'I.2', 'H.3', 'I.5', 'B.7', 'H.3', 'H.5', 'H.5', 'I.3', 'G.1', 'G.1', 'K.3', 'K.3', 'G.3', 'H.5', 'H.3', 'I.5', 'H.5', 'G.1', 'F.3', 'H.5', 'K.4', 'G.3', 'I.2', 'J.2', 'I.2', 'K.1', 'D.3', 'H.2', 'H.3', 'H.5', 'G.1', 'I.4', 'G.1', 'I.2', 'I.2', 'D.2', 'H.3', 'H.5', 'D.2', 'J.6', 'G.1', 'F.2', 'C.2', 'C.2', 'J.3', 'G.1', 'F.3', 'I.4', 'F.3', 'H.3', 'I.5', 'I.5', 'I.2', 'H.2', 'I.1', 'I.5', 'I.2', 'H.5', 'J.7', 'B.7', 'G.1', 'J.1', 'G.1', 'D.2', 'J.6', 'J.6', 'H.1', 'I.2', 'K.1', 'J.6', 'K.3', 'K.3', 'D.2', 'G.1', 'F.1', 'J.7', 'G.2', 'C.0', 'J.6', 'C.2', 'C.2', 'B.3', 'I.3', 'C.1', 'D.3', 'B.4', 'B.7', 'I.2', 'I.3', 'K.8', 'G.1', 'I.2', 'D.3', 'K.8', 'K.8', 'I.2', 'J.7']"
3,"Ali, Mohammod","['H.4', 'D.4', 'H.2', 'H.5', 'K.6', 'K.4', 'J.6', 'C.2', 'B.4', 'E.3', 'C.5', 'J.2', 'J.2', 'H.5', 'E.3', 'K.3', 'K.3', 'J.2', 'D.2', 'K.7', 'H.2', 'H.2', 'J.2', 'H.2', 'C.2', 'J.2', 'I.1', 'I.5', 'H.5', 'J.2', 'B.6', 'H.5', 'C.5', 'I.4', 'K.4', 'H.5', 'K.4', 'J.2', 'I.1', 'I.5', 'D.4', 'H.2', 'E.3', 'B.4', 'D.4', 'D.2', 'D.4', 'K.7', 'K.6', 'K.6', 'H.2', 'B.6', 'H.3', 'H.5']"
4,"Ammal, Salai C.","['C.2', 'C.2', 'J.6', 'E.3', 'I.2', 'J.6', 'C.2']"
5,"Bakos, Jason D. ","['C.2', 'G.1', 'C.1', 'C.2', 'D.2', 'D.4', 'I.4']"
6,"Banerjee, Sourav ","['H.5', 'G.1', 'K.3', 'K.3', 'I.2', 'A.0']"
7,"Bayat, Mahmoud","['J.3', 'I.5', 'J.2', 'G.3', 'G.1', 'I.5', 'I.2']"
8,"Bayoumi, Abdel-Moez E. ","['E.1', 'G.2', 'J.1', 'D.2', 'D.4', 'J.2', 'K.6', 'D.2', 'K.6', 'A.0', 'K.6', 'I.2', 'B.1', 'D.2', 'B.2', 'B.4', 'B.3', 'J.2', 'D.2', 'D.4', 'K.7', 'B.3', 'I.2', 'I.2', 'J.3', 'G.1', 'H.1', 'G.1', 'F.3', 'I.4', 'B.4', 'K.6', 'H.5', 'D.3', 'F.3', 'I.4', 'H.3', 'F.3', 'J.7', 'K.6', 'G.1', 'J.3', 'J.7', 'H.2', 'B.4', 'J.7', 'D.3', 'I.2', 'C.2', 'G.1', 'K.6', 'J.2', 'G.1', 'F.4', 'C.2', 'K.6', 'H.5', 'D.4', 'B.3', 'H.2', 'D.4', 'K.7', 'B.1', 'D.2', 'B.2', 'B.4', 'B.3', 'J.2', 'H.5', 'D.2', 'J.2', 'K.6', 'F.3', 'G.3', 'J.2', 'D.4', 'B.4', 'J.7', 'D.2', 'H.3', 'H.5', 'F.3', 'D.2', 'K.3', 'K.3', 'F.3', 'H.3', 'E.3', 'D.4', 'H.2', 'A.0', 'H.4', 'G.1', 'I.2', 'H.5', 'G.1', 'K.3', 'K.3', 'K.4', 'J.3', 'D.2', 'G.1', 'I.4', 'A.0', 'H.2', 'I.5']"
9,"Benigni, Andrea","['H.2', 'D.4', 'B.6', 'B.6']"
10,"Berge, Nicole D.","['F.1', 'G.1', 'I.2', 'F.4', 'J.3', 'I.2', 'H.2', 'I.4', 'D.2', 'H.2', 'D.2', 'I.7', 'I.3', 'H.5', 'D.2', 'I.4', 'D.2', 'C.2', 'H.5', 'F.3', 'J.2', 'D.3', 'B.4', 'I.2', 'I.4', 'D.2', 'D.2', 'E.1', 'G.2', 'I.2', 'D.4', 'B.7', 'K.6', 'G.1', 'D.3', 'E.1', 'G.2', 'I.1', 'J.5', 'A.0', 'D.2', 'I.2', 'C.5', 'F.3', 'I.5', 'H.4', 'C.5', 'G.3', 'D.4', 'F.2', 'G.1', 'E.2', 'H.1', 'I.5', 'H.2', 'H.2', 'G.1', 'J.3', 'H.5', 'B.2', 'B.4', 'B.3', 'J.2', 'I.5', 'G.1', 'I.3', 'I.2', 'H.3', 'J.5', 'I.3', 'G.1', 'H.1', 'I.3']"
11,"Besmann, Theodore  M.","['G.1', 'G.1', 'I.2', 'G.1']"
12,"Bischoff, Jeff ","['D.2', 'F.4', 'D.3', 'I.3', 'I.3', 'D.3', 'D.2', 'D.3', 'D.3', 'I.5', 'A.0', 'E.3', 'H.4', 'H.5', 'I.7', 'I.1', 'F.4', 'D.3', 'A.0', 'H.5', 'D.3', 'D', 'H.5', 'E.3', 'F.3', 'D.2', 'I.1', 'H.5']"
